#
# Current Ver: $Revision$
# Last Editor: $Author$
# Last Edited: $Date$
#
# Rules for migrating characters from old data to new.
#

# Examples
# SOURCE:JDTEST	NEWKEY:Paizo - Pathfinder Roleplaying Game Core Rulebook	MAXVER:6.0.0	MAXDEVVER:6.1.1
# EQUIPMENT:JDTEST	NEWKEY:Outfit (Explorer's)	MAXVER:6.0.01	MAXDEVVER:6.1.2
#EQUIPMENT:Kasari Gusoku		NEWKEY:Kusari Gusoku	MAXVER:6.1.8
#ABILITY:Archetype|Fighter Archetype ~ Aldori Sworldlord	NEWKEY:Fighter Archetype ~ Aldori Swordlord	MAXVER:6.00.01	MAXDEVVER:6.01.08

	
#ABILITY:Special Ability|Barbarian Fast Movement	NEWKEY:Barbarian ~ Fast Movement	MAXVER:6.4.0

#ABILITY:Special Ability|Barbarian DR	NEWKEY:Barbarian ~ Damage Reduction	MAXVER:6.4.0

#35e Game MODE




































### 6.0
#ABILITY:Special Ability|Spell-Like Abilities ~ Ooze Mephit			
#ABILITY:Special Ability|Fast Healing ~ Ooze Mephit				
#ABILITY:Special Ability|Skills ~ Ooze Mephit					
#ABILITY:Special Ability|Breath Weapon ~ Salt Mephit				
#ABILITY:Special Ability|Spell-Like Abilities ~ Salt Mephit			
#ABILITY:Special Ability|Fast Healing ~ Salt Mephit				
#ABILITY:Special Ability|Breath Weapon ~ Steam Mephit				
#ABILITY:Special Ability|Spell-Like Abilities ~ Steam Mephit			
#ABILITY:Special Ability|Fast Healing ~ Steam Mephit				
#ABILITY:Special Ability|Breath Weapon ~ Water Mephit				
#ABILITY:Special Ability|Spell-Like Abilities ~ Water Mephit			
#ABILITY:Special Ability|Fast Healing ~ Water Mephit				
#ABILITY:Special Ability|Skills ~ Water Mephit					
#ABILITY:Special Ability|Amphibious ~ Merfolk					
#ABILITY:Special Ability|Skills ~ Merfolk						
#ABILITY:Special Ability|Adhesive ~ Mimic						
#ABILITY:Special Ability|Crush ~ Mimic							
#ABILITY:Special Ability|Mimic Shape ~ Mimic						
#ABILITY:Special Ability|Skills ~ Mimic						
#ABILITY:Special Ability|Powerful Charge ~ Minotaur				
#ABILITY:Special Ability|Natural Cunning ~ Minotaur				
#ABILITY:Special Ability|Skills ~ Minotaur						
#ABILITY:Special Ability|Improved Grab ~ Mohrg					
#ABILITY:Special Ability|Paralyzing Touch ~ Mohrg					
#ABILITY:Special Ability|Create Spawn ~ Mohrg					
#ABILITY:Special Ability|Despair ~ Mummy						
#ABILITY:Special Ability|Mummy Rot ~ Mummy						
#ABILITY:Special Ability|Poison ~ Dark Naga						
#ABILITY:Special Ability|Spells ~ Dark Naga						
#ABILITY:Special Ability|Resistance to Charm ~ Dark Naga				
#ABILITY:Special Ability|Detect Thoughts ~ Dark Naga				
#ABILITY:Special Ability|Guarded Thoughts ~ Dark Naga				
#ABILITY:Special Ability|Poison ~ Guardian Naga					
#ABILITY:Special Ability|Spit ~ Guardian Naga					
#ABILITY:Special Ability|Spells ~ Guardian Naga					
#ABILITY:Special Ability|Charming Gaze ~ Spirit Naga				
#ABILITY:Special Ability|Poison ~ Spirit Naga					
#ABILITY:Special Ability|Spells ~ Spirit Naga					
#ABILITY:Special Ability|Poison ~ Water Naga						
#ABILITY:Special Ability|Spells ~ Water Naga						
#ABILITY:Special Ability|Skills ~ Water Naga						
#ABILITY:Special Ability|Natural Weapons ~ Night Hag				
#ABILITY:Special Ability|Disease ~ Night Hag						
#ABILITY:Special Ability|Spell-Like Abilities ~ Night Hag			
#ABILITY:Special Ability|Dream Haunting ~ Night Hag				
#ABILITY:Special Ability|Natural Weapons ~ Nightmare				
#ABILITY:Special Ability|Flaming Hooves ~ Nightmare				
#ABILITY:Special Ability|Smoke ~ Nightmare						
#ABILITY:Special Ability|Astral Projection and Etherealness ~ Nightmare	
#ABILITY:Special Ability|Aversion to Daylight ~ Nightshade Shared		
#ABILITY:Special Ability|Desecrating Aura ~ Nightshade Shared			
#ABILITY:Special Ability|Natural Weapons ~ Nightcrawler				
#ABILITY:Special Ability|Energy Drain ~ Nightcrawler				
#ABILITY:Special Ability|Improved Grab ~ Nightcrawler				
#ABILITY:Special Ability|Poison ~ Nightcrawler					
#ABILITY:Special Ability|Spell-Like Abilities ~ Nightcrawler			
#ABILITY:Special Ability|Summon Undead ~ Nightcrawler				
#ABILITY:Special Ability|Swallow Whole ~ Nightcrawler				
#ABILITY:Special Ability|Natural Weapons ~ Nightwalker				
#ABILITY:Special Ability|Crush Item ~ Nightwalker					
#ABILITY:Special Ability|Evil Gaze ~ Nightwalker					
#ABILITY:Special Ability|Spell-Like Abilities ~ Nightwalker			
#ABILITY:Special Ability|Summon Undead ~ Nightwalker				
#ABILITY:Special Ability|Skills ~ Nightwalker					
#ABILITY:Special Ability|Natural Weapons ~ Nightwing				
#ABILITY:Special Ability|Magic Drain ~ Nightwing					
#ABILITY:Special Ability|Spell-Like Abilities ~ Nightwing			
#ABILITY:Special Ability|Summon Undead ~ Nightwing					
#ABILITY:Special Ability|Skills ~ Nightwing						
#ABILITY:Special Ability|Blinding Beauty ~ Nymph					
#ABILITY:Special Ability|Spell-Like Abilities ~ Nymph				
#ABILITY:Special Ability|Spells ~ Nymph						
#ABILITY:Special Ability|Stunning Glance ~ Nymph					
#ABILITY:Special Ability|Unearthly Grace ~ Nymph					
#ABILITY:Special Ability|Wild Empathy ~ Nymph					
#ABILITY:Special Ability|Skills ~ Nymph						
#ABILITY:Special Ability|Spell-Like Abilities ~ Ogre Mage			
#ABILITY:Special Ability|Flight ~ Ogre Mage						
#ABILITY:Special Ability|Regeneration ~ Ogre Mage					
#ABILITY:Special Ability|Blindsight ~ Ooze Shared					
#ABILITY:Special Ability|Acid ~ Black Pudding					
#ABILITY:Special Ability|Constrict ~ Black Pudding					
#ABILITY:Special Ability|Improved Grab ~ Black Pudding				
#ABILITY:Special Ability|Split ~ Black Pudding					
#ABILITY:Special Ability|Skills ~ Black Pudding					
#ABILITY:Special Ability|Acid ~ Gelatinous Cube					
#ABILITY:Special Ability|Engulf ~ Gelatinous Cube					
#ABILITY:Special Ability|Paralysis ~ Gelatinous Cube				
#ABILITY:Special Ability|Transparent ~ Gelatinous Cube				
#ABILITY:Special Ability|Acid ~ Gray Ooze						
#ABILITY:Special Ability|Constrict ~ Gray Ooze					
#ABILITY:Special Ability|Improved Grab ~ Gray Ooze					
#ABILITY:Special Ability|Transparent ~ Gray Ooze					
#ABILITY:Special Ability|Acid ~ Ochre Jelly						
#ABILITY:Special Ability|Constrict ~ Ochre Jelly					
#ABILITY:Special Ability|Improved Grab ~ Ochre Jelly				
#ABILITY:Special Ability|Split ~ Ochre Jelly						
#ABILITY:Special Ability|Skills ~ Ochre Jelly					
#ABILITY:Special Ability|Light Sensitivity ~ Orc					
#ABILITY:Special Ability|Constrict ~ Otyugh						
#ABILITY:Special Ability|Disease ~ Otyugh						
#ABILITY:Special Ability|Improved Grab ~ Otyugh					
#ABILITY:Special Ability|Skills ~ Otyugh						
#ABILITY:Special Ability|Superior Low-Light Vision ~ Giant Owl			
#ABILITY:Special Ability|Skills ~ Giant Owl						
#ABILITY:Special Ability|Improved Grab ~ Owlbear					
#ABILITY:Special Ability|Spell-Like Abilities ~ Pegasus				
#ABILITY:Special Ability|Skills ~ Pegasus						
#ABILITY:Special Ability|Greater Invisibility ~ Phantom Fungus			
#ABILITY:Special Ability|Skills ~ Phantom Fungus					
#ABILITY:Special Ability|Ethereal Jaunt ~ Phase Spider				
#ABILITY:Special Ability|Poison ~ Phase Spider					
#ABILITY:Special Ability|Skills ~ Phase Spider					
#ABILITY:Special Ability|Amorphous ~ Phasm						
#ABILITY:Special Ability|Resilient ~ Phasm						
#ABILITY:Special Ability|Alternate Form ~ Phasm					
#ABILITY:Special Ability|Tremorsense ~ Phasm						
#ABILITY:Special Ability|Skills ~ Phasm						
#ABILITY:Special Ability|Daylight ~ Planetouched Aasimar				
#ABILITY:Special Ability|Skills ~ Planetouched Aasimar				
#ABILITY:Special Ability|Darkness ~ Planetouched Tiefling			
#ABILITY:Special Ability|Skills ~ Planetouched Tiefling				
#ABILITY:Special Ability|Poison ~ Pseudodragon					
#ABILITY:Special Ability|Blindsense ~ Pseudodragon					
#ABILITY:Special Ability|Telepathy ~ Pseudodragon					
#ABILITY:Special Ability|Skills ~ Pseudodragon					
#ABILITY:Special Ability|Improved Grab ~ Purple Worm				
#ABILITY:Special Ability|Poison ~ Purple Worm					
#ABILITY:Special Ability|Swallow Whole ~ Purple Worm				
#ABILITY:Special Ability|Skills ~ Purple Worm					
#ABILITY:Special Ability|Detect Thoughts ~ Rakshasa				
#ABILITY:Special Ability|Spells ~ Rakshasa						
#ABILITY:Special Ability|Change Shape ~ Rakshasa					
#ABILITY:Special Ability|Skills ~ Rakshasa						
#ABILITY:Special Ability|Paralyzing Gaze ~ Rast					
#ABILITY:Special Ability|Improved Grab ~ Rast					
#ABILITY:Special Ability|Blood Drain ~ Rast						
#ABILITY:Special Ability|Flight ~ Rast							
#ABILITY:Special Ability|Positive Energy Lash ~ Ravid				
#ABILITY:Special Ability|Animate Objects ~ Ravid					
#ABILITY:Special Ability|Flight ~ Ravid						
#ABILITY:Special Ability|Feats ~ Ravid							
#ABILITY:Special Ability|Improved Grab ~ Remorhaz					
#ABILITY:Special Ability|Swallow Whole ~ Remorhaz					
#ABILITY:Special Ability|Heat ~ Remorhaz						
#ABILITY:Special Ability|Skills ~ Remorhaz						
#ABILITY:Special Ability|Skills ~ Roc							
#ABILITY:Special Ability|Drag ~ Roper							
#ABILITY:Special Ability|Strands ~ Roper						
#ABILITY:Special Ability|Weakness ~ Roper						
#ABILITY:Special Ability|Skills ~ Roper						
#ABILITY:Special Ability|Rust ~ Rust Monster						
#ABILITY:Special Ability|Blindsense ~ Sahuagin					
#ABILITY:Special Ability|Blood Frenzy ~ Sahuagin					
#ABILITY:Special Ability|Rake ~ Sahuagin						
#ABILITY:Special Ability|Freshwater Sensitivity ~ Sahuagin			
#ABILITY:Special Ability|Light Blindness ~ Sahuagin				
#ABILITY:Special Ability|Speak with Sharks ~ Sahuagin				
#ABILITY:Special Ability|Water Dependent ~ Sahuagin				
#ABILITY:Special Ability|Skills ~ Sahuagin						
#ABILITY:Special Ability|Light Sensitivity ~ Malenti				
#ABILITY:Special Ability|Natural Weapons ~ Salamander				
#ABILITY:Special Ability|Constrict ~ Salamander					
#ABILITY:Special Ability|Heat ~ Salamander						
#ABILITY:Special Ability|Improved Grab ~ Salamander				
#ABILITY:Special Ability|Spell-Like Abilities ~ Salamander			
#ABILITY:Special Ability|Skills ~ Salamander						
#ABILITY:Special Ability|Feats ~ Salamander						
#ABILITY:Special Ability|Pipes ~ Satyr							
#ABILITY:Special Ability|Skills ~ Satyr						
#ABILITY:Special Ability|Hold Breath ~ Sea Cat					
#ABILITY:Special Ability|Rend ~ Sea Cat						
#ABILITY:Special Ability|Skills ~ Sea Cat						
#ABILITY:Special Ability|Strength Damage ~ Shadow					
#ABILITY:Special Ability|Create Spawn ~ Shadow					
#ABILITY:Special Ability|Skills ~ Shadow						
#ABILITY:Special Ability|Strength Damage ~ Greater Shadow			
#ABILITY:Special Ability|Bay ~ Shadow Mastiff					
#ABILITY:Special Ability|Trip ~ Shadow Mastiff					
#ABILITY:Special Ability|Shadow Blend ~ Shadow Mastiff				
#ABILITY:Special Ability|Skills ~ Shadow Mastiff					
#ABILITY:Special Ability|Improved Grab ~ Shambling Mound				
#ABILITY:Special Ability|Constrict ~ Shambling Mound				
#ABILITY:Special Ability|Immunity to Electricity ~ Shambling Mound		
#ABILITY:Special Ability|Skills ~ Shambling Mound					
#ABILITY:Special Ability|Find Master ~ Shield Guardian				
#ABILITY:Special Ability|Guard ~ Shield Guardian					
#ABILITY:Special Ability|Shield Other ~ Shield Guardian				
#ABILITY:Special Ability|Spell Storing ~ Shield Guardian				
#ABILITY:Special Ability|Stunning Shock ~ Shocker Lizard				
#ABILITY:Special Ability|Lethal Shock ~ Shocker Lizard				
#ABILITY:Special Ability|Electricity Sense ~ Shocker Lizard			
#ABILITY:Special Ability|Skills ~ Shocker Lizard					
#ABILITY:Special Ability|Rake ~ Skum							
#ABILITY:Special Ability|Skills ~ Skum							
#ABILITY:Special Ability|Energy Drain ~ Spectre					
#ABILITY:Special Ability|Create Spawn ~ Spectre					
#ABILITY:Special Ability|Unnatural Aura ~ Spectre					
#ABILITY:Special Ability|Sunlight Powerlessness ~ Spectre			
#ABILITY:Special Ability|Pounce ~ Sphinx						
#ABILITY:Special Ability|Rake ~ Sphinx							
#ABILITY:Special Ability|Rake ~ Androsphinx						
#ABILITY:Special Ability|Roar ~ Androsphinx						
#ABILITY:Special Ability|Spells ~ Androsphinx					
#ABILITY:Special Ability|Rake ~ Criosphinx						
#ABILITY:Special Ability|Rake ~ Gynosphinx						
#ABILITY:Special Ability|Spell-Like Abilities ~ Gynosphinx			
#ABILITY:Special Ability|Rake ~ Hieracosphinx					
#ABILITY:Special Ability|Skills ~ Hieracosphinx					
#ABILITY:Special Ability|Implant ~ Spider Eater					
#ABILITY:Special Ability|Poison ~ Spider Eater					
#ABILITY:Special Ability|Freedom of Movement ~ Spider Eater			
#ABILITY:Special Ability|Skills ~ Spider Eater					
#ABILITY:Special Ability|Skills ~ SPRITE						
#ABILITY:Special Ability|Spell-Like Abilities ~ Grig				
#ABILITY:Special Ability|Fiddle ~ Grig							
#ABILITY:Special Ability|Skills ~ Grig							
#ABILITY:Special Ability|Charm Person ~ Nixie					
#ABILITY:Special Ability|Amphibious ~ Nixie						
#ABILITY:Special Ability|Water Breathing ~ Nixie					
#ABILITY:Special Ability|Wild Empathy ~ Nixie					
#ABILITY:Special Ability|Skills ~ Nixie						
#ABILITY:Special Ability|Greater Invisibility ~ Pixie				
#ABILITY:Special Ability|Spell-Like Abilities ~ Pixie				
#ABILITY:Special Ability|Special Arrows ~ Pixie					
#ABILITY:Special Ability|Attach ~ Stirge						
#ABILITY:Special Ability|Blood Drain ~ Stirge					
#ABILITY:Special Ability|Distraction ~ Bat Swarm					
#ABILITY:Special Ability|Wounding ~ Bat Swarm					
#ABILITY:Special Ability|Blindsense ~ Bat Swarm					
#ABILITY:Special Ability|Skills ~ Bat Swarm						
#ABILITY:Special Ability|Distraction ~ Centipede Swarm				
#ABILITY:Special Ability|Poison ~ Centipede Swarm					
#ABILITY:Special Ability|Skills ~ Centipede Swarm					
#ABILITY:Special Ability|Natural Weapons ~ Hellwasp Swarm			
#ABILITY:Special Ability|Distraction ~ Hellwasp Swarm				
#ABILITY:Special Ability|Inhabit ~ Hellwasp Swarm					
#ABILITY:Special Ability|Poison ~ Hellwasp Swarm					
#ABILITY:Special Ability|Hive Mind ~ Hellwasp Swarm				
#ABILITY:Special Ability|Distraction ~ Locust Swarm				
#ABILITY:Special Ability|Skills ~ Locust Swarm					
#ABILITY:Special Ability|Disease ~ Rat Swarm						
#ABILITY:Special Ability|Distraction ~ Rat Swarm					
#ABILITY:Special Ability|Skills ~ Rat Swarm						
#ABILITY:Special Ability|Distraction ~ Spider Swarm				
#ABILITY:Special Ability|Poison ~ Spider Swarm					
#ABILITY:Special Ability|Skills ~ Spider Swarm					
#ABILITY:Special Ability|Natural Weapons ~ Tarrasque				
#ABILITY:Special Ability|Augmented Critical ~ Tarrasque				
#ABILITY:Special Ability|Frightful Presence ~ Tarrasque				
#ABILITY:Special Ability|Improved Grab ~ Tarrasque					
#ABILITY:Special Ability|Rush ~ Tarrasque						
#ABILITY:Special Ability|Swallow Whole ~ Tarrasque					
#ABILITY:Special Ability|Carapace ~ Tarrasque					
#ABILITY:Special Ability|Regeneration ~ Tarrasque					
#ABILITY:Special Ability|Skills ~ Tarrasque						
#ABILITY:Special Ability|Improved Grab ~ Tendriculos				
#ABILITY:Special Ability|Swallow Whole/Paralysis ~ Tendriculos			
#ABILITY:Special Ability|Regeneration ~ Tendriculos				
#ABILITY:Special Ability|Heat ~ Thoqqua						
#ABILITY:Special Ability|Burn ~ Thoqqua						
#ABILITY:Special Ability|Natural Weapons ~ Titan					
#ABILITY:Special Ability|Oversized Weapon ~ Titan					
#ABILITY:Special Ability|Spell-Like Abilities ~ Titan				
#ABILITY:Special Ability|Improved Grab ~ Tojanida					
#ABILITY:Special Ability|Ink Cloud ~ Tojanida					
#ABILITY:Special Ability|All-Around Vision ~ Tojanida				
#ABILITY:Special Ability|Skills ~ Tojanida						
#ABILITY:Special Ability|Animate Trees ~ Treant					
#ABILITY:Special Ability|Double Damage against Objects ~ Treant		
#ABILITY:Special Ability|Trample ~ Treant						
#ABILITY:Special Ability|Skills ~ Treant						
#ABILITY:Special Ability|Spell-Like Abilities ~ Triton				
#ABILITY:Special Ability|Skills ~ Triton						
#ABILITY:Special Ability|Stench ~ Troglodyte						
#ABILITY:Special Ability|Skills ~ Troglodyte						
#ABILITY:Special Ability|Rend ~ Troll							
#ABILITY:Special Ability|Regeneration ~ Troll					
#ABILITY:Special Ability|Magic Circle against Evil ~ Unicorn			
#ABILITY:Special Ability|Spell-Like Abilities ~ Unicorn				
#ABILITY:Special Ability|Wild Empathy ~ Unicorn					
#ABILITY:Special Ability|Skills ~ Unicorn						
#ABILITY:Special Ability|Blood Drain ~ VAMPIRE TEMPLATE				
#ABILITY:Special Ability|Children of the Night ~ VAMPIRE TEMPLATE		
#ABILITY:Special Ability|Dominate ~ VAMPIRE TEMPLATE				
#ABILITY:Special Ability|Create Spawn ~ VAMPIRE TEMPLATE				
#ABILITY:Special Ability|Energy Drain ~ VAMPIRE TEMPLATE				
#ABILITY:Special Ability|Special Qualities ~ VAMPIRE TEMPLATE			
#ABILITY:Special Ability|Alternate Form ~ VAMPIRE TEMPLATE			
#ABILITY:Special Ability|Damage Reduction ~ VAMPIRE TEMPLATE			
#ABILITY:Special Ability|Fast Healing ~ VAMPIRE TEMPLATE				
#ABILITY:Special Ability|Gaseous Form ~ VAMPIRE TEMPLATE				
#ABILITY:Special Ability|Resistances ~ VAMPIRE TEMPLATE				
#ABILITY:Special Ability|Spider Climb ~ VAMPIRE TEMPLATE				
#ABILITY:Special Ability|Turn Resistance ~ VAMPIRE TEMPLATE			
#ABILITY:Special Ability|Vampire Weaknesses ~ VAMPIRE TEMPLATE			
#ABILITY:Special Ability|Blood Drain ~ Vampire Spawn				
#ABILITY:Special Ability|Domination ~ Vampire Spawn				
#ABILITY:Special Ability|Energy Drain ~ Vampire Spawn				
#ABILITY:Special Ability|Fast Healing ~ Vampire Spawn				
#ABILITY:Special Ability|Gaseous Form ~ Vampire Spawn				
#ABILITY:Special Ability|Spider Climb ~ Vampire Spawn				
#ABILITY:Special Ability|Skills ~ Vampire Spawn					
#ABILITY:Special Ability|Vampire Weaknesses ~ Vampire Spawn			
#ABILITY:Special Ability|Natural Weapons ~ Vargouille				
#ABILITY:Special Ability|Shriek ~ Vargouille						
#ABILITY:Special Ability|Kiss ~ Vargouille						
#ABILITY:Special Ability|Poison ~ Vargouille						
#ABILITY:Special Ability|Create Spawn ~ Wight					
#ABILITY:Special Ability|Energy Drain ~ Wight					
#ABILITY:Special Ability|Skills ~ Wight						
#ABILITY:Special Ability|Immunity to Magic ~ Will-O'-Wisp			
#ABILITY:Special Ability|Natural Invisibility ~ Will-O'-Wisp			
#ABILITY:Special Ability|Breath Weapon ~ Winter Wolf				
#ABILITY:Special Ability|Freezing Bite ~ Winter Wolf				
#ABILITY:Special Ability|Trip ~ Winter Wolf						
#ABILITY:Special Ability|Skills ~ Winter Wolf					
#ABILITY:Special Ability|Trip ~ Worg							
#ABILITY:Special Ability|Skills ~ Worg							
#ABILITY:Special Ability|Unnatural Aura ~ Wraith Shared				
#ABILITY:Special Ability|Daylight Powerlessness ~ Wraith Shared		
#ABILITY:Special Ability|Constitution Drain ~ Wraith				
#ABILITY:Special Ability|Create Spawn ~ Wraith					
#ABILITY:Special Ability|Lifesense ~ Dread Wraith					
#ABILITY:Special Ability|Constitution Drain ~ Dread Wraith			
#ABILITY:Special Ability|Create Spawn ~ Dread Wraith				
#ABILITY:Special Ability|Improved Grab ~ Wyvern					
#ABILITY:Special Ability|Poison ~ Wyvern						
#ABILITY:Special Ability|Skills ~ Wyvern						
#ABILITY:Special Ability|Implant ~ Xill						
#ABILITY:Special Ability|Improved Grab ~ Xill					
#ABILITY:Special Ability|Paralysis ~ Xill						
#ABILITY:Special Ability|Planewalk ~ Xill						
#ABILITY:Special Ability|All-Around Vision ~ Xorn					
#ABILITY:Special Ability|Earth Glide ~ Xorn						
#ABILITY:Special Ability|Natural Weapons ~ Yeth Hound				
#ABILITY:Special Ability|Bay ~ Yeth Hound						
#ABILITY:Special Ability|Trip ~ Yeth Hound						
#ABILITY:Special Ability|Flight ~ Yeth Hound						
#ABILITY:Special Ability|Skills ~ Yeth Hound						
#ABILITY:Special Ability|Sonic Lance ~ Yrthak					
#ABILITY:Special Ability|Explosion ~ Yrthak						
#ABILITY:Special Ability|Blindsight ~ Yrthak						
#ABILITY:Special Ability|Immunities ~ Yrthak						
#ABILITY:Special Ability|Skills ~ Yrthak						
#ABILITY:Special Ability|Single Actions Only ~ Zombie Template			
#ABILITY:Special Ability|								
#ABILITY:Special Ability|Stonecunning ~ Svirfneblin				
#ABILITY:Special Ability|Stonecunning ~ Deep Halfling				
#ABILITY:Special Ability|Halfling Appraise						
#ABILITY:Special Ability|Halfling Craft						
#ABILITY:Special Ability|Acid Sting ~ Giant Ant			
#ABILITY:Special Ability|Improved Grab ~ Giant Ant			
#ABILITY:Special Ability|Skills ~ Giant Ant				
#ABILITY:Special Ability|Poison ~ Giant Bee				
#ABILITY:Special Ability|Skills ~ Giant Bee				
#ABILITY:Special Ability|eetle                                 
#ABILITY:Special Ability|Acid Spray ~ Giant Bombardier Beetle	
#ABILITY:Special Ability|Trample ~ Giant Stag Beetle		
#ABILITY:Special Ability|is                                    
#ABILITY:Special Ability|Improved Grab ~ Giant Praying Mantis	
#ABILITY:Special Ability|Skills ~ Giant Praying Mantis		
#ABILITY:Special Ability|Poison ~ Giant Wasp				
#ABILITY:Special Ability|Skills ~ Giant Wasp				
#ABILITY:Special Ability|e                                     
#ABILITY:Special Ability|Poison ~ Monstrous Centipede		
#ABILITY:Special Ability|Skills ~ Monstrous Centipede		
#ABILITY:Special Ability|Constrict ~ Monstrous Scorpion		
#ABILITY:Special Ability|Improved Grab ~ Monstrous Scorpion	
#ABILITY:Special Ability|Poison ~ Monstrous Scorpion		
#ABILITY:Special Ability|Skills ~ Monstrous Scorpion		
#ABILITY:Special Ability|Poison ~ Monstrous Spider			
#ABILITY:Special Ability|Web ~ Monstrous Spider			
#ABILITY:Special Ability|Tremorsense ~ Monstrous Spider		
#ABILITY:Special Ability|Skills ~ Monstrous Spider			
#ABILITY:Special Ability|ue Key						
#ABILITY:Special Ability|Skills ~ Ape					
#ABILITY:Special Ability|Skills ~ Baboon				
#ABILITY:Special Ability|Rage ~ Badger					
#ABILITY:Special Ability|Skills ~ Badger				
#ABILITY:Special Ability|Blindsense ~ Bat				
#ABILITY:Special Ability|Skills ~ Bat					
#ABILITY:Special Ability|Skills ~ Black Bear				
#ABILITY:Special Ability|Improved Grab ~ Brown Bear		
#ABILITY:Special Ability|Skills ~ Brown Bear				
#ABILITY:Special Ability|Improved Grab ~ Polar Bear		
#ABILITY:Special Ability|Skills ~ Polar Bear				
#ABILITY:Special Ability|Stampede ~ Bison				
#ABILITY:Special Ability|Ferocity ~ Boar				
#ABILITY:Special Ability|Skills ~ Cat					
#ABILITY:Special Ability|Trip ~ Cheetah				
#ABILITY:Special Ability|Sprint ~ Cheetah				
#ABILITY:Special Ability|Improved Grab ~ Crocodile			
#ABILITY:Special Ability|Hold Breath ~ Crocodile			
#ABILITY:Special Ability|Skills ~ Crocodile				
#ABILITY:Special Ability|ame as above)                         
#ABILITY:Special Ability|Skills ~ Dog					
#ABILITY:Special Ability|Combat ~ Riding Dog				
#ABILITY:Special Ability|Skills ~ Riding Dog				
#ABILITY:Special Ability|Skills ~ Donkey				
#ABILITY:Special Ability|Skills ~ Eagle				
#ABILITY:Special Ability|Trample ~ Elephant				
#ABILITY:Special Ability|Skills ~ Hawk					
#ABILITY:Special Ability|Combat ~ Horse Shared			
#ABILITY:Special Ability|Combat ~ Heavy Horse			
#ABILITY:Special Ability|Combat ~ Light Horse			
#ABILITY:Special Ability|Combat ~ Heavy Warhorse			
#ABILITY:Special Ability|Combat ~ Light Warhorse			
#ABILITY:Special Ability|Trip ~ Hyena					
#ABILITY:Special Ability|Skills ~ Hyena				
#ABILITY:Special Ability|Improved Grab ~ Leopard			
#ABILITY:Special Ability|Pounce ~ Leopard				
#ABILITY:Special Ability|Rake ~ Leopard				
#ABILITY:Special Ability|Skills ~ Leopard				
#ABILITY:Special Ability|Pounce ~ Lion					
#ABILITY:Special Ability|Improved Grab ~ Lion			
#ABILITY:Special Ability|Rake ~ Lion					
#ABILITY:Special Ability|Skills ~ Lion					
#ABILITY:Special Ability|Skills ~ Lizard				
#ABILITY:Special Ability|Skills ~ Monitor Lizard			
#ABILITY:Special Ability|Combat ~ Manta Ray				
#ABILITY:Special Ability|Skills ~ Manta Ray				
#ABILITY:Special Ability|Skills ~ Monkey				
#ABILITY:Special Ability|Skills ~ Mule					
#ABILITY:Special Ability|Improved Grab ~ Octopus			
#ABILITY:Special Ability|Ink Cloud ~ Octopus				
#ABILITY:Special Ability|Jet ~ Octopus					
#ABILITY:Special Ability|Skills ~ Octopus				
#ABILITY:Special Ability|Tentacles ~ Giant Octopus			
#ABILITY:Special Ability|Constrict ~ Giant Octopus			
#ABILITY:Special Ability|Improved Grab ~ Giant Octopus		
#ABILITY:Special Ability|Ink Cloud ~ Giant Octopus			
#ABILITY:Special Ability|Jet ~ Giant Octopus				
#ABILITY:Special Ability|Skills ~ Giant Octopus			
#ABILITY:Special Ability|Skills ~ Owl					
#ABILITY:Special Ability|Combat ~ Pony					
#ABILITY:Special Ability|Combat ~ Warpony				
#ABILITY:Special Ability|Blindsight ~ Porpoise			
#ABILITY:Special Ability|Hold Breath ~ Porpoise			
#ABILITY:Special Ability|Skills ~ Porpoise				
#ABILITY:Special Ability|Skills ~ Rat					
#ABILITY:Special Ability|Powerful Charge ~ Rhinoceros		
#ABILITY:Special Ability|Blindsense ~ Shark				
#ABILITY:Special Ability|Keen Scent ~ Shark				
#ABILITY:Special Ability|Skills ~ Shark				
#ABILITY:Special Ability|Skills ~ Snake Shared			
#ABILITY:Special Ability|Constrict ~ Constrictor Snake		
#ABILITY:Special Ability|Improved Grab ~ Constrictor Snake	
#ABILITY:Special Ability|Poison ~ Viper Snake			
#ABILITY:Special Ability|Improved Grab ~ Squid			
#ABILITY:Special Ability|Ink Cloud ~ Squid				
#ABILITY:Special Ability|Jet ~ Squid					
#ABILITY:Special Ability|Skills ~ Squid				
#ABILITY:Special Ability|Combat ~ Giant Squid			
#ABILITY:Special Ability|Constrict ~ Giant Squid			
#ABILITY:Special Ability|Improved Grab ~ Giant Squid		
#ABILITY:Special Ability|Ink Cloud ~ Giant Squid			
#ABILITY:Special Ability|Jet ~ Giant Squid				
#ABILITY:Special Ability|Skills ~ Giant Squid			
#ABILITY:Special Ability|Improved Grab ~ Tiger			
#ABILITY:Special Ability|Pounce ~ Tiger				
#ABILITY:Special Ability|Rake ~ Tiger					
#ABILITY:Special Ability|Skills ~ Tiger				
#ABILITY:Special Ability|Skills ~ Toad					
#ABILITY:Special Ability|Attach ~ Weasel				
#ABILITY:Special Ability|Skills ~ Weasel				
#ABILITY:Special Ability|Blindsight ~ Whale				
#ABILITY:Special Ability|Hold Breath ~ Whale				
#ABILITY:Special Ability|Skills ~ Whale				
#ABILITY:Special Ability|Trip ~ Wolf					
#ABILITY:Special Ability|Skills ~ Wolf					
